run,problem,combo,solved,end,reason,checks,first_green_check,turn_at_proof,cost_std_at_proof,cost_std_end,checks_after,turns_after,changed_after,last_green_check,highwater_verdict,highwater_reason,replay_verified
base-fatex87-0805,fatex_1,baseline,true,completed,,14,14,29,0.04746,0.04908,0,2,false,14,,,true
base-fatex87-0805,fatex_11,baseline,true,completed,,63,57,149,0.29757,0.33078,6,18,true,63,,,true
base-fatex87-0805,fatex_14,baseline,true,completed,,5,5,13,0.02698,0.02789,0,2,false,5,,,true
base-fatex87-0805,fatex_21,baseline,true,completed,,22,14,35,0.07991,0.09994,8,19,true,22,,,true
base-fatex87-0805,fatex_22,baseline,,,no_record,79,78,177,0.35882,0.3657,1,3,false,79,,,true
base-fatex87-0805,fatex_29,baseline,true,completed,,67,66,148,0.27857,0.28273,1,2,false,67,,,true
base-fatex87-0805,fatex_3,baseline,true,completed,,45,42,128,0.30593,0.32809,3,11,true,45,,,true
base-fatex87-0805,fatex_30,baseline,true,completed,,10,10,23,0.03377,0.03504,0,2,false,10,,,true
base-fatex87-0805,fatex_4,baseline,true,completed,,49,47,188,0.36259,0.37514,2,7,true,49,,,true
base-fatex87-0805,fatex_5,baseline,true,completed,,40,35,109,0.18163,0.2044,5,17,true,40,,,true
base-fatex87-0805,fatex_8,baseline,true,completed,,14,12,30,0.054,0.06629,2,9,true,14,,,true
base-fatex87-0805,fatex_9,baseline,true,completed,,42,40,87,0.16767,0.17686,2,7,true,42,,,true
ga-smoke-0731,fatem_100,lean-grep,true,completed,,5,4,22,0.00681,0.00758,1,4,true,5,,,true
ga-smoke-0731,fatem_108,lean-grep,true,completed,,1,1,6,0.001,0.00108,0,1,false,1,,,true
ga-smoke-0731,fatem_112,lean-grep,true,completed,,2,2,5,0.00194,0.00203,0,1,false,2,,,true
ga-smoke-0731,fatem_113,lean-grep,true,completed,,2,2,40,0.01732,0.01798,0,2,false,2,,,true
ga-smoke-0731,fatem_115,lean-grep,true,completed,,1,1,3,0.00043,0.00049,0,1,false,1,,,true
ga-smoke-0731,fatem_133,lean-grep,true,completed,,2,2,18,0.0066,0.00709,0,2,false,2,,,true
ga-smoke-0731,fatem_143,lean-grep,true,completed,,2,2,6,0.00157,0.00163,0,1,false,2,,,true
ga-smoke-0731,fatem_36,lean-grep,true,completed,,1,1,15,0.00781,0.008,0,1,false,1,,,true
ga-smoke-0731,fatem_48,lean-grep,true,completed,,1,1,3,0.00055,0.00062,0,1,false,1,,,true
ga-smoke-0731,fatem_53,lean-grep,true,completed,,5,4,76,0.04494,0.04671,1,3,false,5,,,true
ga-smoke-0731b,fatem_100,lean-grep,true,completed,,2,1,14,0.00379,0.00567,1,4,true,2,,,true
ga-smoke-0731b,fatem_108,lean-grep,true,completed,,1,1,6,0.00152,0.00161,0,1,false,1,,,true
ga-smoke-0731b,fatem_112,lean-grep,true,completed,,3,3,8,0.00507,0.00521,0,1,false,3,,,true
ga-smoke-0731b,fatem_113,lean-grep,true,completed,,3,3,27,0.01031,0.01082,0,2,false,3,,,true
ga-smoke-0731b,fatem_115,lean-grep,true,completed,,1,1,3,0.00038,0.00046,0,1,false,1,,,true
ga-smoke-0731b,fatem_133,lean-grep,true,completed,,4,4,30,0.01746,0.01823,0,2,false,4,,,true
ga-smoke-0731b,fatem_143,lean-grep,true,completed,,2,2,13,0.00315,0.00324,0,1,false,2,,,true
ga-smoke-0731b,fatem_36,lean-grep,true,completed,,3,3,18,0.00721,0.00768,0,2,false,3,,,true
ga-smoke-0731b,fatem_48,lean-grep,true,completed,,1,1,3,0.00052,0.00057,0,1,false,1,,,true
ga-smoke-0731b,fatem_53,lean-grep,true,completed,,2,2,23,0.01738,0.01828,0,2,false,2,,,true
ga-smoke-0731c,fatem_100,lean-grep,true,completed,,2,1,10,0.00267,0.00516,1,6,true,2,,,true
ga-smoke-0731c,fatem_108,lean-grep,true,completed,,2,2,7,0.00109,0.00115,0,1,false,2,,,true
ga-smoke-0731c,fatem_112,lean-grep,true,completed,,2,2,5,0.00273,0.00303,0,2,false,2,,,true
ga-smoke-0731c,fatem_113,lean-grep,true,completed,,3,3,21,0.01415,0.01475,0,2,false,3,,,true
ga-smoke-0731c,fatem_115,lean-grep,true,completed,,1,1,3,0.0006,0.00066,0,1,false,1,,,true
ga-smoke-0731c,fatem_133,lean-grep,true,completed,,3,3,18,0.00899,0.00952,0,2,false,3,,,true
ga-smoke-0731c,fatem_143,lean-grep,true,completed,,1,1,4,0.00129,0.00136,0,1,false,1,,,true
ga-smoke-0731c,fatem_36,lean-grep,true,completed,,1,1,8,0.00526,0.00557,0,2,false,1,,,true
ga-smoke-0731c,fatem_48,lean-grep,true,completed,,2,2,5,0.00077,0.00083,0,1,false,2,,,true
ga-smoke-0731c,fatem_53,lean-grep,true,completed,,11,3,52,0.0332,0.04659,8,24,true,11,,,true
grep-fatex87-0805,fatex_1,lean-grep,true,completed,,6,3,38,0.03848,0.04569,3,13,true,6,,,true
grep-fatex87-0805,fatex_10,lean-grep,true,completed,,66,65,303,0.50775,0.51481,1,3,false,66,,,true
grep-fatex87-0805,fatex_11,lean-grep,true,completed,,57,53,247,0.59348,0.62848,4,14,true,57,,,true
grep-fatex87-0805,fatex_12,lean-grep,true,completed,,66,65,252,0.36706,0.38103,1,7,true,66,,,true
grep-fatex87-0805,fatex_14,lean-grep,true,completed,,2,2,22,0.02775,0.02894,0,2,false,2,,,true
grep-fatex87-0805,fatex_16,lean-grep,true,completed,,78,75,267,0.40538,0.42201,3,8,true,78,,,true
grep-fatex87-0805,fatex_17,lean-grep,true,completed,,72,69,304,0.64974,0.65825,3,13,true,72,,,true
grep-fatex87-0805,fatex_19,lean-grep,false,completed,grader_error,138,131,495,0.93094,0.96358,7,18,true,138,,,true
grep-fatex87-0805,fatex_20,lean-grep,true,completed,,68,66,259,0.54341,0.55722,2,6,false,68,,,true
grep-fatex87-0805,fatex_21,lean-grep,true,completed,,3,3,40,0.05944,0.06104,0,2,false,3,,,true
grep-fatex87-0805,fatex_22,lean-grep,true,completed,,5,5,109,0.0851,0.0871,0,2,false,5,,,true
grep-fatex87-0805,fatex_24,lean-grep,true,completed,,65,62,346,0.54693,0.57414,3,12,true,65,,,true
grep-fatex87-0805,fatex_26,lean-grep,true,completed,,42,36,234,0.46821,0.51203,6,17,true,42,,,true
grep-fatex87-0805,fatex_27,lean-grep,true,completed,,22,19,130,0.19906,0.21146,3,8,true,22,,,true
grep-fatex87-0805,fatex_29,lean-grep,true,completed,,4,3,100,0.05012,0.05181,1,3,false,4,,,true
grep-fatex87-0805,fatex_3,lean-grep,true,completed,,13,12,82,0.10962,0.11559,1,5,true,13,,,true
grep-fatex87-0805,fatex_30,lean-grep,true,completed,,6,5,39,0.03136,0.03297,1,3,false,6,,,true
grep-fatex87-0805,fatex_36,lean-grep,true,completed,,41,37,194,0.28934,0.31329,4,15,true,41,,,true
grep-fatex87-0805,fatex_38,lean-grep,true,completed,,34,32,135,0.13689,0.14303,2,5,true,34,,,true
grep-fatex87-0805,fatex_39,lean-grep,true,completed,,20,19,109,0.13852,0.14217,1,3,false,20,,,true
grep-fatex87-0805,fatex_4,lean-grep,true,completed,,4,3,90,0.07195,0.07614,1,5,true,4,,,true
grep-fatex87-0805,fatex_40,lean-grep,true,completed,,10,9,145,0.1249,0.12902,1,4,true,10,,,true
grep-fatex87-0805,fatex_41,lean-grep,true,completed,,54,52,256,0.5212,0.5383,2,7,true,54,,,true
grep-fatex87-0805,fatex_42,lean-grep,true,completed,,94,90,275,0.43336,0.47242,4,20,true,94,,,true
grep-fatex87-0805,fatex_48,lean-grep,true,completed,,20,14,115,0.12553,0.14329,6,15,true,20,,,true
grep-fatex87-0805,fatex_49,lean-grep,true,completed,,6,5,42,0.03455,0.03629,1,3,false,6,,,true
grep-fatex87-0805,fatex_5,lean-grep,true,completed,,13,13,76,0.05759,0.05919,0,2,false,13,,,true
grep-fatex87-0805,fatex_51,lean-grep,true,completed,,7,6,70,0.05221,0.05434,1,3,false,7,,,true
grep-fatex87-0805,fatex_52,lean-grep,true,completed,,3,3,55,0.03915,0.04049,0,2,false,3,,,true
grep-fatex87-0805,fatex_53,lean-grep,true,completed,,110,105,385,0.74172,0.76505,5,20,true,110,,,true
grep-fatex87-0805,fatex_54,lean-grep,true,completed,,2,2,45,0.02357,0.02442,0,2,false,2,,,true
grep-fatex87-0805,fatex_55,lean-grep,true,completed,,12,10,89,0.11282,0.12084,2,7,true,12,,,true
grep-fatex87-0805,fatex_57,lean-grep,true,completed,,17,16,139,0.10346,0.1064,1,3,false,17,,,true
grep-fatex87-0805,fatex_58,lean-grep,true,completed,,106,103,350,0.68233,0.70319,3,8,true,106,,,true
grep-fatex87-0805,fatex_59,lean-grep,true,completed,,11,9,98,0.0868,0.09184,2,5,true,11,,,true
grep-fatex87-0805,fatex_6,lean-grep,true,completed,,13,6,96,0.13315,0.15839,7,21,true,13,,,true
grep-fatex87-0805,fatex_64,lean-grep,true,completed,,71,71,281,0.5953,0.59821,0,1,false,71,,,true
grep-fatex87-0805,fatex_66,lean-grep,true,completed,,76,73,345,0.88102,0.89262,3,14,true,76,,,true
grep-fatex87-0805,fatex_67,lean-grep,true,completed,,13,10,81,0.12695,0.13707,3,8,true,13,,,true
grep-fatex87-0805,fatex_68,lean-grep,true,completed,,17,16,126,0.21022,0.21591,1,3,false,17,,,true
grep-fatex87-0805,fatex_7,lean-grep,true,completed,,18,16,66,0.05538,0.05913,2,5,true,18,,,true
grep-fatex87-0805,fatex_76,lean-grep,true,completed,,18,14,99,0.12146,0.13429,4,10,true,18,,,true
grep-fatex87-0805,fatex_8,lean-grep,true,completed,,12,9,63,0.05679,0.06549,3,11,true,12,,,true
grep-fatex87-0805,fatex_83,lean-grep,true,completed,,52,51,247,0.34284,0.34835,1,3,false,52,,,true
grep-fatex87-0805,fatex_84,lean-grep,true,completed,,8,8,59,0.06694,0.06862,0,2,false,8,,,true
grep-fatex87-0805,fatex_89,lean-grep,true,completed,,15,11,110,0.14126,0.15653,4,13,true,15,,,true
grep-fatex87-0805,fatex_9,lean-grep,true,completed,,8,8,76,0.09613,0.09851,0,2,false,8,,,true
lean-grep-fateh50-0730,fateh_14,lean-grep,true,completed,,8,5,26,0.00529,0.00627,3,5,false,8,,,true
lean-grep-fateh50-0730,fateh_15,lean-grep,true,completed,,44,37,192,0.07296,0.09044,7,31,true,44,,,true
lean-grep-fateh50-0730,fateh_17,lean-grep,true,completed,,5,4,35,0.00774,0.00831,1,3,false,5,,,true
lean-grep-fateh50-0730,fateh_19,lean-grep,true,provider_error,,64,57,446,0.2127,0.2326,7,20,true,64,,,true
lean-grep-fateh50-0730,fateh_22,lean-grep,true,completed,,53,46,183,0.10465,0.12659,7,30,true,53,,,true
lean-grep-fateh50-0730,fateh_25,lean-grep,true,completed,,18,14,64,0.02582,0.03126,4,11,false,18,,,true
lean-grep-fateh50-0730,fateh_26,lean-grep,true,completed,,25,17,226,0.05859,0.07461,8,32,true,25,,,true
lean-grep-fateh50-0730,fateh_3,lean-grep,true,provider_error,,47,41,336,0.1918,0.21691,6,22,true,47,,,true
lean-grep-fateh50-0730,fateh_34,lean-grep,true,completed,,9,6,90,0.01968,0.02185,3,7,false,9,,,true
